Title,Composer,CatNo,Date,Range,Inst1,Inst2,Inst3,Genre,Subgenre,Species ,Species2,Nationality,Key,Modulation,Folder,Filename,Comments
Recuerdos de Viaje Travel Impressions 6 Rumores de la Caleta Malaguena,Albeniz,Op71,1886,,Piano,,,OthersSolo,,,,Spain,A major,,A,Recuerdos de Viaje Travel Impressions 6 Rumores de la Caleta Malaguena Op71 A major,
Recuerdos de Viaje Travel Impressions 7 En la Playa On the Beach,Albeniz,Op71,1886,,Piano,,,OthersSolo,,,,Spain,Ab major,,A,Recuerdos de Viaje Travel Impressions 7 En la Playa On the Beach Op71 Ab major,
Rumores de Caleta Malaguena,Albeniz,,,1890-1899,Guitar,,,OtherSolo,,,,Spain,E major,,A,Rumores de Caleta Malaguena E major,
Six Little Waltzes,Albeniz,Op25No1,1884,,Piano,,,OtherSolo,,Waltz,,Spain,Ab major,,A,Six Little Waltzes No1 Ab major,
Six Little Waltzes,Albeniz,Op25No2,1884,,Piano,,,OtherSolo,,Waltz,,Spain,Eb major,,A,Six Little Waltzes No2 Eb major,
Six Little Waltzes,Albeniz,Op25No3,1884,,Piano,,,OtherSolo,,Waltz,,Spain,A major,,A,Six Little Waltzes No3 A major,
Six Little Waltzes,Albeniz,Op25No4,1884,,Piano,,,OtherSolo,,Waltz,,Spain,Eb major,,A,Six Little Waltzes No4 Eb major,
Six Little Waltzes,Albeniz,Op25No5,1884,,Piano,,,OtherSolo,,Waltz,,Spain,F major,,A,Six Little Waltzes No5 F major,
Six Little Waltzes,Albeniz,Op25No6,1884,,Piano,,,OtherSolo,,Waltz,,Spain,Ab major,,A,Six Little Waltzes No6 Ab major,
Sonata in D Zapateado,Albeniz,,,1770-1800,,,,,,,,,,,A,Sonata in D Zapateado E minor,Mateo Albeniz
Spanish Tango,Albeniz,Op164No2,1889,,Guitar,,,OtherSolo,,,,Spain,A minor,,A,Spanish Tango Op164No2 A minor,
Suite Espana 1 Preludio,Albeniz,Op165,1890,,Piano,,,OtherSolo,,,,Spain,A minor,,A,Suite Espana 1 Preludio Op165 A minor,
Suite Espana 2 Tango,Albeniz,Op165,1890,,Piano,,,OtherSolo,,,,Spain,D major,,A,Suite Espana 2 Tango Op165 D major,
Suite Espana 3 Malaguena,Albeniz,Op165,1890,,Piano,,,OtherSolo,,,,Spain,B major,,A,Suite Espana 3 Malaguena Op165 B major,
Suite Espana 4 Serenata,Albeniz,Op165,1890,,Piano,,,OtherSolo,,,,Spain,G minor,,A,Suite Espana 4 Serenata Op165 G minor,
Suite Espana 5 Capricho Catalan,Albeniz,Op165,1890,,Piano,,,OtherSolo,,,,Spain,Eb major,,A,Suite Espana 5 Capricho Catalan Op165 Eb major,
Suite Espana 6 Zortzico,Albeniz,Op165,1890,,Piano,,,OtherSolo,,,,Spain,E major,,A,Suite Espana 6 Zortzico Op165 E major,
Suite Espanola 1 Granada,Albeniz,Op47,1918,,Piano,,,OthersSolo,,,,Spain,E major,,A,Suite Espanola 1 Granada Op47 E major,
Suite Espanola 2 Cataluna,Albeniz,Op47,1918,,Piano,,,OthersSolo,,,,Spain,G minor,,A,Suite Espanola 2 Cataluna Op47 G minor,
Suite Espanola 3 Sevilla,Albeniz,Op47,1918,,Piano,,,OthersSolo,,,,Spain,G major,,A,Suite Espanola 3 Sevilla Op47 G major,
Suite Espanola 4 Cadiz,Albeniz,Op47,1918,,Piano,,,OthersSolo,,,,Spain,C# major,,A,Suite Espanola 4 Cadiz Op47 C# major,
Suite Espanola 5 Asturias,Albeniz,Op47,1918,,Guitar,,,OthersSolo,,,,Spain,E minor,,A,Suite Espanola 5 Asturias Op47 E minor,
Suite Espanola 6 Aragon,Albeniz,Op47,1918,,Piano,,,OthersSolo,Fantasy,,,Spain,F major,,A,Suite Espanola 6 Aragon Op47 F major,
Suite Espanola 7 Castilla,Albeniz,Op47,1918,,Guitar,,,OthersSolo,Duet,,,Spain,D major,,A,Suite Espanola 7 Castilla Op47 D major,
